Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate
FIS,FIDELITY NATIONAL INFORMATION SERV,Information Technology,Equity,"14,428,129.02",0.14,"14,428,129.02","160,366.00",89.97,United States,New York Stock Exchange Inc.,USD,1.00
ETN,EATON PLC,Industrials,Equity,"14,404,966.80",0.14,"14,404,966.80","104,916.00",137.30,United States,New York Stock Exchange Inc.,USD,1.00
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,Equity,"14,363,577.39",0.14,"14,363,577.39","58,263.00",246.53,United States,New York Stock Exchange Inc.,USD,1.00
SLB,SCHLUMBERGER NV,Energy,Equity,"14,217,165.36",0.14,"14,217,165.36","373,448.00",38.07,United States,New York Stock Exchange Inc.,USD,1.00
MPC,MARATHON PETROLEUM CORP,Energy,Equity,"14,055,444.44",0.14,"14,055,444.44","141,788.00",99.13,United States,New York Stock Exchange Inc.,USD,1.00
MCK,MCKESSON CORP,Health Care,Equity,"13,871,728.96",0.13,"13,871,728.96","38,128.00",363.82,United States,New York Stock Exchange Inc.,USD,1.00
CNC,CENTENE CORP,Health Care,Equity,"13,810,158.05",0.13,"13,810,158.05","153,361.00",90.05,United States,New York Stock Exchange Inc.,USD,1.00
SRE,SEMPRA,Utilities,Equity,"13,766,504.40",0.13,"13,766,504.40","82,533.00",166.80,United States,New York Stock Exchange Inc.,USD,1.00
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"13,692,444.80",0.13,"13,692,444.80","25,394.00",539.20,United States,NASDAQ,USD,1.00
PSA,PUBLIC STORAGE REIT,Real Estate,Equity,"13,676,232.29",0.13,"13,676,232.29","41,071.00",332.99,United States,New York Stock Exchange Inc.,USD,1.00
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,"13,658,876.44",0.13,"13,658,876.44","135,116.00",101.09,United States,NASDAQ,USD,1.00
SNPS,SYNOPSYS INC,Information Technology,Equity,"13,246,861.44",0.13,"13,246,861.44","40,074.00",330.56,United States,NASDAQ,USD,1.00
KLAC,KLA CORP,Information Technology,Equity,"13,173,313.50",0.13,"13,173,313.50","39,294.00",335.25,United States,NASDAQ,USD,1.00
FDX,FEDEX CORP,Industrials,Equity,"13,154,786.72",0.13,"13,154,786.72","63,026.00",208.72,United States,New York Stock Exchange Inc.,USD,1.00
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,Equity,"12,921,598.90",0.13,"12,921,598.90","147,490.00",87.61,United States,New York Stock Exchange Inc.,USD,1.00
EMR,EMERSON ELECTRIC,Industrials,Equity,"12,701,497.50",0.12,"12,701,497.50","155,370.00",81.75,United States,New York Stock Exchange Inc.,USD,1.00
USD,USD CASH,Cash and/or Derivatives,Cash,"12,577,449.87",0.12,"12,577,449.87","12,577,450.00",100.00,United States,--,USD,1.00
MRNA,MODERNA INC,Health Care,Equity,"12,505,111.08",0.12,"12,505,111.08","90,244.00",138.57,United States,NASDAQ,USD,1.00
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Communication,Equity,"12,421,841.40",0.12,"12,421,841.40","30,510.00",407.14,United States,NASDAQ,USD,1.00
GIS,GENERAL MILLS INC,Consumer Staples,Equity,"12,196,101.68",0.12,"12,196,101.68","158,969.00",76.72,United States,New York Stock Exchange Inc.,USD,1.00
DVN,DEVON ENERGY CORP,Energy,Equity,"12,106,076.72",0.12,"12,106,076.72","172,108.00",70.34,United States,New York Stock Exchange Inc.,USD,1.00
VLO,VALERO ENERGY CORP,Energy,Equity,"12,093,716.46",0.12,"12,093,716.46","106,253.00",113.82,United States,New York Stock Exchange Inc.,USD,1.00
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,"12,056,779.98",0.12,"12,056,779.98","71,694.00",168.17,United States,NASDAQ,USD,1.00
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,"12,008,440.30",0.12,"12,008,440.30","17,089.00",702.70,United States,NASDAQ,USD,1.00
MCO,MOODYS CORP,Financials,Equity,"11,976,084.00",0.12,"11,976,084.00","42,110.00",284.40,United States,New York Stock Exchange Inc.,USD,1.00
HCA,HCA HEALTHCARE INC,Health Care,Equity,"11,840,375.79",0.11,"11,840,375.79","59,193.00",200.03,United States,New York Stock Exchange Inc.,USD,1.00
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,Equity,"11,810,295.12",0.11,"11,810,295.12","7,306.00","1,616.52",United States,New York Stock Exchange Inc.,USD,1.00
CTVA,CORTEVA INC,Materials,Equity,"11,728,562.32",0.11,"11,728,562.32","191,518.00",61.24,United States,New York Stock Exchange Inc.,USD,1.00
MET,METLIFE INC,Financials,Equity,"11,711,710.84",0.11,"11,711,710.84","180,014.00",65.06,United States,New York Stock Exchange Inc.,USD,1.00
LHX,L3HARRIS TECHNOLOGIES INC,Industrials,Equity,"11,535,171.20",0.11,"11,535,171.20","50,771.00",227.20,United States,New York Stock Exchange Inc.,USD,1.00
ADSK,AUTODESK INC,Information Technology,Equity,"11,367,253.59",0.11,"11,367,253.59","57,211.00",198.69,United States,NASDAQ,USD,1.00
EXC,EXELON CORP,Utilities,Equity,"11,334,334.48",0.11,"11,334,334.48","257,131.00",44.08,United States,NASDAQ,USD,1.00
KMB,KIMBERLY CLARK CORP,Consumer Staples,Equity,"11,244,577.92",0.11,"11,244,577.92","88,904.00",126.48,United States,New York Stock Exchange Inc.,USD,1.00
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,"11,221,956.70",0.11,"11,221,956.70","154,615.00",72.58,United States,New York Stock Exchange Inc.,USD,1.00
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity,"11,191,494.48",0.11,"11,191,494.48","98,482.00",113.64,United States,NASDAQ,USD,1.00
PSX,PHILLIPS 66,Energy,Equity,"11,180,813.24",0.11,"11,180,813.24","126,394.00",88.46,United States,New York Stock Exchange Inc.,USD,1.00
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,Equity,"11,152,679.76",0.11,"11,152,679.76","72,312.00",154.23,United States,NASDAQ,USD,1.00
ROP,ROPER TECHNOLOGIES INC,Information Technology,Equity,"11,119,516.20",0.11,"11,119,516.20","27,735.00",400.92,United States,New York Stock Exchange Inc.,USD,1.00
AZO,AUTOZONE INC,Consumer Discretionary,Equity,"10,992,521.04",0.11,"10,992,521.04","5,183.00","2,120.88",United States,New York Stock Exchange Inc.,USD,1.00
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,Equity,"10,960,188.84",0.11,"10,960,188.84","209,124.00",52.41,United States,New York Stock Exchange Inc.,USD,1.00
